#t Vm Li6 Li7 Q A delta7 Li
915 -6.49789488435691 0.90178322174565 10.9703621113823 134.484192664398 20 12.1462035027724 11.872145333128
920 -6.51243383389542 0.904193199219345 10.9997546672442 134.449631663286 20 12.1530796411715 11.9039478664636
925 -6.52739711327379 0.906595406093878 11.0290527696968 134.41509237829 20 12.1599264421783 11.9356481757907
930 -6.54277465532246 0.908989963138433 11.058257883647 134.380575133773 20 12.1667439201432 11.9672478467854
935 -6.55855659106985 0.911376988907049 11.0873714471496 134.346080245561 20 12.173532092977 11.9987484360566
940 -6.57473324620758 0.913756599776785 11.1163948718703 134.311608021113 20 12.1802909820616 12.0301514716471
945 -6.59129513760928 0.916128909985337 11.1453295435411 134.277158759688 20 12.1870206121653 12.0614584535265
950 -6.60823296990235 0.918494031668094 11.1741768224097 134.242732752511 20 12.1937210113552 12.0926708540778
955 -6.62553763209234 0.920852074894647 11.2029380436816 134.208330282929 20 12.2003922109146 12.1237901185762
960 -6.64320019423932 0.923203147704759 11.2316145179562 134.173951626577 20 12.2070342452603 12.154817665661
965 -6.6612119041858 0.925547356143797 11.2602075316564 134.139597051531 20 12.2136471518601 12.1857548878002
970 -6.67956418433571 0.927884804297626 11.2887183474509 134.105266818456 20 12.2202309711539 12.2166031517485
975 -6.69824862848384 0.930215594326982 11.3171482046712 134.070961180768 20 12.2267857464753 12.2473637989982
980 -6.71725699869523 0.932539826501315 11.3454983197218 134.036680384772 20 12.2333115239723 12.2780381462231
985 -6.73658122223408 0.934857599232121 11.3737698864836 134.00242466981 20 12.2398083525335 12.3086274857157
990 -6.75621338854146 0.937169009105762 11.4019640767122 133.968194268408 20 12.2462762837114 12.3391330858179
995 -6.7761457462615 0.939474150915767 11.430082040429 133.933989406412 20 12.2527153716496 12.3695561913448
1000 -6.79637070031527 0.941773117694651 11.458124906307 133.899810303127 20 12.2591256730107 12.3998980240017
1005 -6.81688080902208 0.944066000745219 11.4860937820501 133.865657171452 20 12.2655072469049 12.4301597827953
1010 -6.83766878126736 0.946352889671392 11.5139897547664 133.831530218016 20 12.2718601548202 12.4603426444378
1015 -6.85872747371682 0.94863387240854 11.5418138913363 133.797429643303 20 12.2781844605535 12.4904477637449
1020 -6.88004988807621 0.950909035253342 11.5695672387741 133.763355641785 20 12.2844802301438 12.5204762740274
1025 -6.90162916839611 0.953178462893161 11.5972508245837 133.729308402048 20 12.2907475318057 12.5504292874769
1030 -6.92345859842126 0.955442238434963 11.6248656571097 133.695288106912 20 12.2969864358649 12.5803078955446
1035 -6.94553159898389 0.95770044343376 11.6524127258815 133.661294933554 20 12.3031970146932 12.6101131693152
1040 -6.96784172544037 0.959953157920608 11.679893001953 133.627329053628 20 12.3093793426468 12.6398461598736
1045 -6.99038266515082 0.962200460430138 11.7073074382359 133.593390633383 20 12.3155334960048 12.669507898666
1050 -7.01314823500092 0.964442428027652 11.7346569698285 133.559479833773 20 12.3216595529085 12.6990993978562
1055 -7.03613237896555 0.966679136335774 11.7619425143384 133.525596810576 20 12.3277575933027 12.7286216506741
1060 -7.05932916571354 0.968910659560661 11.7891649721999 133.4917417145 20 12.3338276988763 12.7580756317606
1065 -7.08273278625318 0.971137070517791 11.8163252269872 133.457914691291 20 12.3398699530073 12.787462297505
1070 -7.10633755161772 0.973358440657319 11.8434241457212 133.424115881844 20 12.3458844407054 12.8167825863785
1075 -7.13013789059049 0.97557484008902 11.8704625791718 133.390345422304 20 12.3518712485571 12.8460374192608
1080 -7.15412834746901 0.977786337606811 11.8974413621552 133.356603444167 20 12.3578304646734 12.875227699762
1085 -7.17830357986759 0.979993000712874 11.9243613138263 133.322890074386 20 12.3637621786352 12.9043543145392
1090 -7.20265835655781 0.982194895641367 11.951223237966 133.289205435463 20 12.3696664814434 12.9334181336074
1095 -7.22718755534649 0.984392087381742 11.9780279232637 133.25554964555 20 12.3755434654664 12.9624200106455
1100 -7.25188616099042 0.98658463970167 12.0047761435954 133.221922818545 20 12.3813932243928 12.9913607832971
1105 -7.27674926314751 0.988772615169579 12.0314686582965 133.188325064179 20 12.3872158531797 13.020241273466
